分类: 中国内地, 名称: CCTV-2, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 228 ms, 最高速率: 18.72 M/s, 平均速率: 18.72 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 中国内地, 名称: CCTV-4, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 357 ms, 最高速率: 11.88 M/s, 平均速率: 11.88 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 中国内地, 名称: CCTV-3, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 367 ms, 最高速率: 11.86 M/s, 平均速率: 11.86 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 中国内地, 名称: CCTV-8, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 244 ms, 最高速率: 17.87 M/s, 平均速率: 17.87 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 中国内地, 名称: CCTV-7, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 247 ms, 最高速率: 11.52 M/s, 平均速率: 11.52 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 中国内地, 名称: CCTV-10, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 406 ms, 最高速率: 6.32 M/s, 平均速率: 6.32 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 中国内地, 名称: CCTV-11, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 485 ms, 最高速率: 6.42 M/s, 平均速率: 6.42 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 中国内地, 名称: CCTV-12, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 1015 ms, 最高速率: 1.60 M/s, 平均速率: 1.60 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 中国内地, 名称: CCTV-14, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 269 ms, 最高速率: 13.10 M/s, 平均速率: 13.10 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 中国内地, 名称: CCTV-15, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 267 ms, 最高速率: 14.84 M/s, 平均速率: 14.84 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 中国内地, 名称: CCTV-13, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 1927 ms, 最高速率: 1.57 M/s, 平均速率: 1.57 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
